128,4,32
32,32,8
4,2,128
64,64,16
128,2,8
16,32,4
256,128,32
64,64,32
16,8,16
2,32,256
32,32,8
256,16,128
128,2,128
512,128,4
256,2,128
64,16,16
16,16,256
32,2,8
32,4,32
512,32,4
8,2,512
16,4,256
128,2,4
32,128,128
256,2,4
512,16,4
32,64,128
2,2,4
64,64,2
64,128,4
16,64,256
16,16,256
16,128,1024
8,64,16
2,16,2
2,32,2
128,16,512
512,32,1024
128,64,256
128,32,8
256,2,512
256,32,128
512,32,1024
4,16,2
8,16,16
32,32,8
128,16,2
64,8,64
2,16,256
512,128,128
4,4,64
32,2,512
2,8,128
8,4,512
8,2,4
512,32,256
128,64,128
16,64,128
2,2,256
16,16,16
512,64,512
32,2,128
4,2,8
4,32,64
512,4,8
512,128,512
2,128,512
8,16,512
64,8,32
4,16,64
64,128,256
128,2,1024
128,32,128
2,8,32
16,2,128
2,64,64
256,64,64
512,2,128
4,64,8
8,32,4
512,2,32
2,128,512
32,8,256
256,64,32
256,32,4
16,8,64
32,2,1024
128,32,512
2,16,512
4,64,256
128,64,32
4,128,8
512,32,1024
64,128,512
512,16,8
4,8,1024
2,128,512
32,4,2
2,64,32
512,64,512
2,2,64
16,4,512
256,64,128
8,2,512
32,2,2
128,2,32
512,8,128
512,4,32
4,32,16
128,16,512
2,4,64
16,64,128
2,32,4
4,4,8
32,16,4
2,32,16
256,8,1024
4,2,4
32,2,4
32,4,8
2,8,1024
256,4,64
2,16,4
8,64,2
128,32,4
256,128,256
256,8,128
2,128,32
128,16,2
128,64,16
4,8,4
256,2,16
64,8,32
32,16,64
4,64,2
4,2,2
2,2,256
512,2,2
8,32,4
128,8,4
16,16,64
128,4,8
8,8,256
16,4,2
2,8,4
2,32,256
2,32,256
32,8,32
512,16,32
8,128,1024
512,128,8
128,32,64
32,16,4
16,16,512
32,4,32
4,128,8
256,32,32
256,128,128
256,128,4
8,8,1024
128,4,512
512,128,2
32,2,8
256,16,512
16,8,1024
2,8,128
16,8,8
2,128,1024
64,2,1024
256,128,4
128,64,128
64,2,512
8,4,2
16,128,1024
16,16,8
16,32,128
4,128,256
256,32,8
128,4,16
128,128,128
8,32,16
32,32,128
4,64,4
8,16,256
256,4,8
256,8,64
2,4,512
4,8,64
2,128,4
4,64,2
16,2,256
128,16,64
2,8,32
64,128,32
8,64,64
64,32,8
128,128,64
4,2,512
512,8,256
256,32,32
512,16,4
16,64,128
32,4,4
4,32,32
8,8,256
16,2,1024
2,64,2
512,8,32
32,8,256
16,8,1024
8,8,256
16,8,4
512,16,512
32,128,64
256,128,32
16,2,1024
256,16,8
32,32,2
8,128,64
8,2,8
512,4,4
256,128,4
32,128,16
64,16,1024
32,4,32
2,32,64
32,128,512
16,32,64
32,4,16
128,16,32
2,4,8
16,8,128
2,16,1024
16,128,64
64,2,1024
512,64,512
128,64,128
4,32,8
64,2,8
2,32,256
32,2,16
4,32,4
8,64,8
128,64,128
128,2,64
64,2,64
2,16,128
128,128,64
64,4,64
4,128,4
